link,star,city
/vi-vn/hotel/vietnam/dalat-palace-heritage-hotel-1000000119097,5.0,Da Lat
/vi-vn/hotel/vietnam/ana-mandara-villas-dalat-resort--spa-1000000325613,5.0,Da Lat
/vi-vn/hotel/vietnam/dalat-edensee-lake-resort--spa-1000000384092,5.0,Da Lat
/vi-vn/hotel/vietnam/binh-an-village-dalat-1000000456575,5.0,Da Lat
/vi-vn/hotel/vietnam/terracotta-hotel--resort-dalat-1000000490882,4.0,Da Lat
/vi-vn/hotel/vietnam/swiss-belresort-tuyen-lam-dalat-1000000561614,4.0,Da Lat
/vi-vn/hotel/vietnam/terracotta-villa-tuyen-lam-lake-dalat-3000010040739,4.0,Da Lat
/vi-vn/hotel/vietnam/dalat-wonder-resort-3000020015279,4.0,Da Lat
/vi-vn/hotel/vietnam/htel-colline-dalat-3000020014998,4.0,Da Lat
/vi-vn/hotel/vietnam/golf-valley-hotel-3000020015990,4.0,Da Lat
/vi-vn/hotel/vietnam/muong-thanh-holiday-dalat-hotel-1000000313073,4.0,Da Lat
/vi-vn/hotel/vietnam/saigon-dalat-hotel-1000000596960,4.0,Da Lat
/vi-vn/hotel/vietnam/du-parc-hotel-dalat-1000000181985,4.0,Da Lat
/vi-vn/hotel/vietnam/tea-resort-dalat-1000000324130,4.0,Da Lat
/vi-vn/hotel/vietnam/la-sapinette-hotel-dalat-1000000353105,4.0,Da Lat
/vi-vn/hotel/vietnam/ladalat-hotel-3000020005120,4.0,Da Lat
/vi-vn/hotel/vietnam/sammy-dalat-hotel-1000000337874,4.0,Da Lat
/vi-vn/hotel/vietnam/cereja-hotel--resort-dalat-3000020018813,4.0,Da Lat
/vi-vn/hotel/vietnam/vietsovpetro-dalat-hotel-1000000443207,4.0,Da Lat
/vi-vn/hotel/vietnam/hoang-anh-dat-xanh-da-lat--resort-2000000109287,4.0,Da Lat
/vi-vn/hotel/vietnam/marigold-hotel-dalat-9000000966402,4.0,Da Lat
/vi-vn/hotel/vietnam/chai-bo-boutique-room-9000000962515,4.0,Da Lat
/vi-vn/hotel/vietnam/blue-moon-resort--spa-9000000969578,4.0,Da Lat
/vi-vn/hotel/vietnam/rang-dong-villas-9000000966745,4.0,Da Lat
/vi-vn/hotel/vietnam/monet-garden-villa-9000000945499,4.0,Da Lat
/vi-vn/hotel/vietnam/the-luxe-hotel-3000020010764,3.0,Da Lat
/vi-vn/hotel/vietnam/tulip-city-view-hotel-3000010032479,3.0,Da Lat
/vi-vn/hotel/vietnam/du-lys-hotel--3000020005464,3.0,Da Lat
/vi-vn/hotel/vietnam/saphir-dalat-hotel-1000000429950,3.0,Da Lat
/vi-vn/hotel/vietnam/nice-dream-dalat-hotel-3000010022525,3.0,Da Lat
/vi-vn/hotel/vietnam/ngoc-phat-dalat-hotel-1000000488216,3.0,Da Lat
/vi-vn/hotel/vietnam/canary-dalat-hotel-9000000419144,3.0,Da Lat
/vi-vn/hotel/vietnam/zen-valley-dalat-1000000531611,3.0,Da Lat
/vi-vn/hotel/vietnam/dalat-de-charme-village-3000020008436,3.0,Da Lat
/vi-vn/hotel/vietnam/dragon-king-i-hotel-1000000529975,3.0,Da Lat
/vi-vn/hotel/vietnam/terrasse-des-roses-1000000442868,3.0,Da Lat
/vi-vn/hotel/vietnam/ttc-hotel-da-lat-3000010021475,3.0,Da Lat
/vi-vn/hotel/vietnam/dalat-boutique-hotel-9000000094382,3.0,Da Lat
/vi-vn/hotel/vietnam/ttc-hotel-ngoc-lan-1000000471739,3.0,Da Lat
/vi-vn/hotel/vietnam/lens-hotel-3000020018358,3.0,Da Lat
/vi-vn/hotel/vietnam/romeo--juliet-dalat-resort-9000000337183,3.0,Da Lat
/vi-vn/hotel/vietnam/rum-vang-ii-hotel-dalat-1000000430677,3.0,Da Lat
/vi-vn/hotel/vietnam/royal-dalat-hotel-1000000529713,3.0,Da Lat
/vi-vn/hotel/vietnam/kings-hotel-dalat-1000000601985,3.0,Da Lat
/vi-vn/hotel/vietnam/osaka-village-dalat-resort-1000000459979,3.0,Da Lat
/vi-vn/hotel/vietnam/mimosa-phuong-nam-hotel-3000010043617,3.0,Da Lat
/vi-vn/hotel/vietnam/sam-tuyen-lam-resort-1000000456136,3.0,Da Lat
/vi-vn/hotel/vietnam/new-life-hotel-dalat-3000020020070,3.0,Da Lat
/vi-vn/hotel/vietnam/minh-chien-hotel-3000020015788,3.0,Da Lat
/vi-vn/hotel/vietnam/iris-dalat-hotel-3000010020098,3.0,Da Lat
/vi-vn/hotel/vietnam/maika-condotel-da-lat-3000020015787,3.0,Da Lat
/vi-vn/hotel/vietnam/ky-hoa-da-lat-hotel-1000000459910,3.0,Da Lat
/vi-vn/hotel/vietnam/hong-mon-villa-1000000558947,3.0,Da Lat
/vi-vn/hotel/vietnam/melody-hotel-dalat-1000000543266,3.0,Da Lat
/vi-vn/hotel/vietnam/dalat-center-residence-3000020014947,3.0,Da Lat
